phiNames, phiPreds, phi0, n_3, n_1, n_2, y_4, y_2, y_1, y_3, y_0, x_3, x_1, x_2, r_2, r_0, r_1, p_2, p_0, p_1, n_0, x_0, gen_bad, n, x, output, incorrect
"[0.31658619288135603, 1]", "[True]", <phi.Phi object at 0x10ba88ef0>, 0, 0, 1, 0.31658619288135603, 0.31658619288135603, 0.31658619288135603, 1, 1, 1, 1, 1, 1, 1, None, True, True, None, 1, 1, True, 1, 1, 0.31658619288135603, True
"[0.4268975552266952, 0.5755487693755063]", "[True]", <phi.Phi object at 0x10ba88208>, 0, 0, 1, 0.4268975552266952, 0.4268975552266952, 0.4268975552266952, 0.5755487693755063, 1, 1, 1, 1, 1, 1, 1, True, True, True, 6, 1, True, 6, 1, 0.4268975552266952, True
"[1, 1]", "[True]", <phi.Phi object at 0x10ba88ef0>, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, True, True, False, 2, 1, False, 2, 1, 1, False
"[64, 4]", "[True]", <phi.Phi object at 0x10bb18ef0>, 0, 0, 1, 64, 64, 64, 4, 1, 256, 256, 16, 1, 1, 1, True, True, True, 3, 4, False, 3, 4, 64, False
"[1000000000, 10]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 1000000000, 1000000000, 1000000000, 10, 1, 10000000000000000, 10000000000000000, 100000000, 1, 1, 0, True, True, False, 9, 10, False, 9, 10, 1000000000, False
"[93.15223835081792, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 93.15223835081792, 93.15223835081792, 93.15223835081792, 1, 1, 10000, 10000, 100, 1, 1, 0, True, True, False, 2, 10, True, 2, 10, 93.15223835081792, True
"[2183.3259893667246, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 2183.3259893667246, 2183.3259893667246, 2183.3259893667246, 1, 1, 16777216, 16777216, 4096, 1, 1, 0, True, True, False, 4, 8, True, 4, 8, 2183.3259893667246, True
"[3612969.4145488515, 1]", "[True]", <phi.Phi object at 0x10bb16748>, 0, 0, 1, 3612969.4145488515, 3612969.4145488515, 3612969.4145488515, 1, 1, 33232930569601, 33232930569601, 5764801, 1, 1, 0, True, True, False, 8, 7, True, 8, 7, 3612969.4145488515, True
"[6.0367028528386655, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 6.0367028528386655, 6.0367028528386655, 6.0367028528386655, 1, 1, 100, 100, 10, 1, 1, None, True, True, None, 1, 10, True, 1, 10, 6.0367028528386655, True
"[1476.9184939548763, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 1476.9184939548763, 1476.9184939548763, 1476.9184939548763, 1, 1, 5764801, 5764801, 2401, 1, 1, 0, True, True, False, 4, 7, True, 4, 7, 1476.9184939548763, True
